timestamp,duration,protocol,source_ip,source_port,direction,destination_ip,destination_port,state,source_type_of_service,destination_type_of_service,total_packets,bytes_transferred_total,bytes_transferred_source_to_dest,source_type_service,flowID,pps,bps_oneway,bpp_oneway,bps_twoway,bpp_twoway
2024-01-01 00:15:00,55.1030125050448,UDP,226.135.148.225,28551,inbound,56.93.92.83,26786,FIN,2,1,114,33063,17366,2,226.135.148.225/28551/inbound/56.93.92.83/26786,2.0688524060197806,315.1551831836799,152.33333333333334,600.0216412301054,290.0263157894737
2024-01-01 00:16:00,91.34224866356536,TCP,196.24.78.67,58439,outbound,85.188.244.21,52010,FIN,3,3,749,94076,53439,3,196.24.78.67/58439/outbound/85.188.244.21/52010,8.199929506429608,585.0414324353696,71.34712950600802,1029.9286625458903,125.60213618157543
2024-01-01 00:17:00,157.4744538465081,TCP,173.187.11.31,19098,inbound,35.228.15.49,35356,ACK,2,3,397,3373,63382,2,173.187.11.31/19098/inbound/35.228.15.49/35356,2.5210438283974606,402.49067992818095,159.65239294710327,21.419347186863057,8.496221662468514
2024-01-01 00:18:00,129.6403110907705,UDP,128.95.91.140,16573,outbound,122.127.112.170,41124,REQ,0,3,174,15430,7290,0,128.95.91.140/16573/outbound/122.127.112.170/41124,1.342175119266492,56.23250930719957,41.89655172413793,119.02162120851706,88.67816091954023
2024-01-01 00:19:00,87.43961914539275,ICMP,31.77.19.145,30987,outbound,17.79.185.246,5968,REQ,0,4,255,21594,68824,0,31.77.19.145/30987/outbound/17.79.185.246/5968,2.91629815514168,787.1031538410626,269.89803921568625,246.95898965540954,84.68235294117648
2024-01-01 00:20:00,183.5946831272416,UDP,221.59.190.133,26944,outbound,130.131.84.166,49849,CON,2,0,466,76522,43225,2,221.59.190.133/26944/outbound/130.131.84.166/49849,2.53819986539063,235.4371012478755,92.75751072961373,416.7985624451111,164.21030042918454
2024-01-01 00:21:00,41.93420880954734,ICMP,160.92.42.253,31850,inbound,226.93.133.80,14901,FIN,2,4,929,3312,615,2,160.92.42.253/31850/inbound/226.93.133.80/14901,22.15375051474658,14.665830534520072,0.6620021528525296,78.98086297614712,3.565123789020452
2024-01-01 00:22:00,87.71418009571191,TCP,130.59.150.210,37095,outbound,231.216.68.68,31014,FIN,4,4,277,83541,71144,4,130.59.150.210/37095/outbound/231.216.68.68/31014,3.1579842586197957,811.0889245315766,256.8375451263538,952.4229709363044,301.59205776173286
2024-01-01 00:23:00,109.97191680377811,ICMP,31.242.4.210,53289,inbound,148.191.15.50,64553,CON,1,2,464,87694,16425,1,31.242.4.210/53289/inbound/148.191.15.50/64553,4.2192590025316274,149.35631275125428,35.39870689655172,797.4217650172599,188.9956896551724
2024-01-01 00:24:00,136.87538826668907,UDP,162.9.88.129,17085,inbound,105.164.231.200,43931,CON,3,0,847,1180,25760,3,162.9.88.129/17085/inbound/105.164.231.200/43931,6.188110300368234,188.20037938310003,30.41322314049587,8.620980111492935,1.3931523022432113
2024-01-01 00:25:00,235.57427082176477,TCP,126.10.177.252,59250,inbound,197.169.184.65,35100,ACK,0,3,502,32775,49945,0,126.10.177.252/59250/inbound/197.169.184.65/35100,2.130962767066411,212.0138155401034,99.49203187250995,139.12809699323034,65.28884462151395
2024-01-01 00:26:00,59.98216726929208,UDP,159.55.206.200,29834,outbound,9.106.99.85,53162,REQ,3,1,441,22107,76689,3,159.55.206.200/29834/outbound/9.106.99.85/53162,7.352185158967577,1278.5299946849536,173.89795918367346,368.5595403838917,50.12925170068027
2024-01-01 00:27:00,154.3189080802421,UDP,215.82.136.98,61030,inbound,64.213.21.161,50562,REQ,4,3,69,82741,15224,4,215.82.136.98/61030/inbound/64.213.21.161/50562,0.4471260253093657,98.6528494102867,220.63768115942028,536.1689052191626,1199.144927536232
2024-01-01 00:28:00,177.76512920172652,ICMP,149.72.155.189,58026,inbound,183.156.165.250,56307,REQ,0,4,509,95915,27647,0,149.72.155.189/58026/inbound/183.156.165.250/56307,2.863328720799852,155.5254403614018,54.316306483300586,539.5602637632962,188.43811394891944
2024-01-01 00:29:00,14.030478774727316,UDP,238.114.6.79,48990,inbound,110.96.17.70,59529,ACK,4,0,326,46915,74339,4,238.114.6.79/48990/inbound/110.96.17.70/59529,23.235130121661573,5298.393675196931,228.03374233128835,3343.7918087661124,143.91104294478527
2024-01-01 00:30:00,182.30270108524132,ICMP,144.251.96.3,23824,outbound,193.126.96.0,4282,CON,4,0,742,83582,38447,4,144.251.96.3/23824/outbound/193.126.96.0/4282,4.070153626813542,210.8964912265502,51.815363881401616,458.47921891688605,112.64420485175202
2024-01-01 00:31:00,51.240184693818726,TCP,4.102.39.16,51680,outbound,216.131.3.124,56297,CON,2,0,67,739,71904,2,4.102.39.16/51680/outbound/216.131.3.124/56297,1.3075674961039403,1403.2736304456378,1073.1940298507463,14.422274322698685,11.029850746268657
2024-01-01 00:32:00,19.608972736285327,ICMP,101.102.123.51,44447,outbound,82.26.170.58,32653,REQ,3,2,304,63693,33119,3,101.102.123.51/44447/outbound/82.26.170.58/32653,15.503106872980892,1688.9716990995203,108.94407894736842,3248.1558751999078,209.51644736842104
2024-01-01 00:33:00,284.6707726222746,TCP,221.51.163.123,60921,inbound,32.160.27.105,38603,REQ,3,3,972,78138,40324,3,221.51.163.123/60921/inbound/32.160.27.105/38603,3.4144706569147236,141.6513526434458,41.48559670781893,274.4855022530892,80.38888888888889
2024-01-01 00:34:00,289.6930467190604,ICMP,166.230.177.62,42716,outbound,105.182.227.187,23982,ACK,2,2,484,93999,74287,2,166.230.177.62/42716/outbound/105.182.227.187/23982,1.670733921582092,256.4334934557208,153.48553719008265,324.47792953470054,194.21280991735537
2024-01-01 00:35:00,242.53836470012664,UDP,229.115.190.61,10964,inbound,70.61.207.33,40489,FIN,3,1,929,3836,72548,3,229.115.190.61/10964/inbound/70.61.207.33/40489,3.8303218591772543,299.1196880942857,78.09257265877288,15.816054522932129,4.129171151776103
2024-01-01 00:36:00,91.45366937509384,ICMP,253.226.6.154,4948,inbound,87.113.105.215,21341,FIN,2,4,548,16573,38247,2,253.226.6.154/4948/inbound/87.113.105.215/21341,5.99210511447494,418.211759695845,69.79379562043796,181.21744171933062,30.24270072992701
2024-01-01 00:37:00,29.39186699051452,ICMP,92.213.13.198,58791,outbound,56.112.12.183,16799,REQ,0,2,417,34119,48684,0,92.213.13.198/58791/outbound/56.112.12.183/16799,14.187598226903251,1656.3765757279566,116.74820143884892,1160.831328306264,81.82014388489209
2024-01-01 00:38:00,205.30148465099583,TCP,229.252.85.132,29078,inbound,18.181.204.112,12063,ACK,4,2,159,86723,30091,4,229.252.85.132/29078/inbound/18.181.204.112/12063,0.7744707753589485,146.5698119580259,189.25157232704402,422.4177927764408,545.4276729559748
2024-01-01 00:39:00,132.1017328725064,UDP,254.182.129.61,10807,outbound,229.170.38.188,30121,REQ,4,4,149,94125,7298,4,254.182.129.61/10807/outbound/229.170.38.188/30121,1.1279185878946978,55.24530103661412,48.97986577181208,712.5190408428754,631.7114093959732
2024-01-01 00:40:00,36.69926662994917,ICMP,219.148.245.229,38277,inbound,170.208.78.145,35231,FIN,3,0,27,36920,2253,3,219.148.245.229/38277/inbound/170.208.78.145/35231,0.7357095244504452,61.390872540253824,83.44444444444444,1006.01465343372,1367.4074074074074
2024-01-01 00:41:00,148.6035553423699,UDP,79.148.137.214,46421,outbound,151.181.242.29,23577,REQ,1,4,987,84961,52036,1,79.148.137.214/46421/outbound/151.181.242.29/23577,6.641833014869909,350.1665884111151,52.721377912867275,571.7292550925656,86.08004052684903
2024-01-01 00:42:00,10.413117482453996,ICMP,58.119.166.132,14257,inbound,250.97.57.195,45426,FIN,4,3,584,57689,25420,4,58.119.166.132/14257/inbound/250.97.57.195/45426,56.08310873127422,2441.151753337313,43.52739726027397,5540.031608901505,98.78253424657534
2024-01-01 00:43:00,272.80518858342674,ICMP,65.12.212.217,46693,inbound,67.70.247.145,54656,FIN,2,4,248,65907,35297,2,65.12.212.217/46693/inbound/67.70.247.145/54656,0.9090736187525222,129.3853690367249,142.3266129032258,241.58997980291323,265.7540322580645
2024-01-01 00:44:00,77.70811648184507,UDP,242.236.212.180,25508,inbound,106.6.39.69,1079,FIN,1,0,101,18514,75972,1,242.236.212.180/25508/inbound/106.6.39.69/1079,1.299735530504032,977.658492311409,752.1980198019802,238.25053080942223,183.30693069306932
2024-01-01 00:45:00,198.7904330777592,ICMP,82.228.172.159,26092,inbound,214.249.192.67,53500,CON,1,4,702,24320,484,1,82.228.172.159/26092/inbound/214.249.192.67/53500,3.531357063472992,2.434724812992775,0.6894586894586895,122.3398914297196,34.643874643874646
2024-01-01 00:46:00,93.58215171921434,UDP,164.208.226.240,1215,inbound,238.48.51.113,24185,CON,4,2,96,60631,63032,4,164.208.226.240/1215/inbound/238.48.51.113/24185,1.0258366391065705,673.5472399600557,656.5833333333334,647.8906381840675,631.5729166666666
2024-01-01 00:47:00,156.06839955122544,ICMP,188.138.190.148,26098,outbound,107.28.148.217,33897,REQ,4,1,384,42525,65230,4,188.138.190.148/26098/outbound/107.28.148.217/33897,2.46045965169241,417.9577684372289,169.86979166666666,272.4766840839055,110.7421875
2024-01-01 00:48:00,164.05841277504956,TCP,52.255.182.116,5941,inbound,78.8.250.174,36993,FIN,4,2,282,9487,34524,4,52.255.182.116/5941/inbound/78.8.250.174/36993,1.7188999651402657,210.43724254078913,122.42553191489361,57.82696443009114,33.641843971631204
2024-01-01 00:49:00,55.53785121210556,UDP,26.253.195.33,39623,outbound,76.41.178.183,16208,CON,2,1,322,76915,24694,2,26.253.195.33/39623/outbound/76.41.178.183/16208,5.797847647548413,444.6336950576414,76.68944099378882,1384.9113410285286,238.8664596273292
2024-01-01 00:50:00,290.8784298665911,ICMP,52.111.251.81,26856,outbound,179.197.127.19,1693,REQ,1,4,396,27684,38543,1,52.111.251.81/26856/outbound/179.197.127.19/1693,1.3613934872435265,132.50552822936172,97.33080808080808,95.17378106275198,69.9090909090909
2024-01-01 00:51:00,232.56233372599823,ICMP,232.226.232.220,43952,outbound,216.154.165.71,13687,REQ,3,3,278,44883,4009,3,232.226.232.220/43952/outbound/216.154.165.71/13687,1.1953784413237605,17.23838910527682,14.420863309352518,192.99341935947606,161.4496402877698
2024-01-01 00:52:00,281.8557325751003,TCP,180.156.165.41,21730,inbound,65.181.240.112,26342,REQ,2,4,529,39909,47339,2,180.156.165.41/21730/inbound/65.181.240.112/26342,1.8768466944664615,167.95471771143255,89.48771266540643,141.59371404435163,75.44234404536861
2024-01-01 00:53:00,268.4587223932519,UDP,21.41.140.112,14706,inbound,24.127.174.198,34758,REQ,0,0,263,54427,11193,0,21.41.140.112/14706/inbound/24.127.174.198/34758,0.9796664368190814,41.693560560136795,42.55893536121673,202.73880287738456,206.9467680608365
2024-01-01 00:54:00,179.41020364544443,ICMP,105.191.16.119,27786,inbound,83.213.62.184,17715,REQ,4,4,619,10957,39643,4,105.191.16.119/27786/inbound/83.213.62.184/17715,3.4501939545383133,220.9629062031702,64.04361873990307,61.07233466862083,17.70113085621971
2024-01-01 00:55:00,276.57008308343273,TCP,137.168.128.129,24407,outbound,183.59.98.61,19546,ACK,1,1,580,42361,39165,1,137.168.128.129/24407/outbound/183.59.98.61/19546,2.0971176402511755,141.60967651799533,67.52586206896552,153.16551785979317,73.03620689655172
2024-01-01 00:56:00,26.638901365370657,ICMP,60.47.28.96,59184,inbound,30.220.21.202,12680,FIN,2,2,640,73688,22590,2,60.47.28.96/59184/inbound/30.220.21.202/12680,24.025014816563363,848.0079448533849,35.296875,2766.180143442064,115.1375
2024-01-01 00:57:00,58.875260439501645,UDP,10.241.57.255,28820,inbound,212.125.156.242,16917,REQ,0,3,293,17095,35531,0,10.241.57.255/28820/inbound/212.125.156.242/16917,4.9766234206484325,603.4962688022507,121.26621160409556,290.3596497473889,58.34470989761092
2024-01-01 00:58:00,13.663663944270365,ICMP,188.231.20.27,24690,outbound,169.41.97.192,46881,ACK,2,4,294,13680,77147,2,188.231.20.27/24690/outbound/169.41.97.192/46881,21.516922635036273,5646.142960969875,262.4047619047619,1001.1955838343408,46.53061224489796
2024-01-01 00:59:00,97.66656619590296,ICMP,203.246.33.7,59841,outbound,31.157.111.145,17517,FIN,2,4,608,18340,22628,2,203.246.33.7/59841/outbound/31.157.111.145/17517,6.225262376691453,231.6862451641023,37.2171052631579,187.78176313901523,30.164473684210527
2024-01-01 01:00:00,116.66431917787564,ICMP,187.213.199.176,26686,outbound,247.121.16.37,4656,CON,3,2,395,83546,12837,3,187.213.199.176/26686/outbound/247.121.16.37/4656,3.385782412167955,110.03364259493681,32.49873417721519,716.1229807771746,211.50886075949367
2024-01-01 01:01:00,81.47757462899138,ICMP,79.144.187.86,46183,outbound,142.214.216.206,31360,REQ,3,3,513,75852,72098,3,79.144.187.86/46183/outbound/142.214.216.206/31360,6.296210979965329,884.8815189737627,140.541910331384,930.9555463008385,147.859649122807
2024-01-01 01:02:00,248.6383789946636,TCP,88.172.210.68,35666,outbound,110.183.21.194,24136,ACK,2,4,921,46211,52929,2,88.172.210.68/35666/outbound/110.183.21.194/24136,3.7041747284708886,212.87542258766086,57.469055374592834,185.85626316760937,50.17480998914224
2024-01-01 01:03:00,107.0903226754074,TCP,160.171.192.86,42854,outbound,56.118.146.56,62803,CON,0,4,810,90547,10646,0,160.171.192.86/42854/outbound/56.118.146.56/62803,7.563708650455035,99.41141023795593,13.14320987654321,845.5199100898174,111.78641975308642
2024-01-01 01:04:00,84.35225945524547,UDP,101.7.76.199,38555,inbound,172.225.34.113,39476,ACK,1,1,180,34966,60719,1,101.7.76.199/38555/inbound/172.225.34.113/39476,2.1339084591504283,719.8265985064158,337.3277777777778,414.52357323696594,194.25555555555556
2024-01-01 01:05:00,162.8545553391587,TCP,249.86.42.128,11258,outbound,125.128.51.84,14290,FIN,1,1,920,81074,19980,1,249.86.42.128/11258/outbound/125.128.51.84/14290,5.649212563222566,122.68615979694225,21.717391304347824,497.8307166855503,88.12391304347825
2024-01-01 01:06:00,42.36317506993132,TCP,109.178.151.226,58640,inbound,221.197.164.64,56675,FIN,4,0,693,73501,48000,4,109.178.151.226/58640/inbound/221.197.164.64/56675,16.35854722541512,1133.059548080701,69.26406926406926,1735.021038405825,106.06204906204906
2024-01-01 01:07:00,240.67887452813648,UDP,152.16.132.147,10245,inbound,179.128.218.20,52091,CON,4,2,235,82193,18737,4,152.16.132.147/10245/inbound/179.128.218.20/52091,0.9764047653153182,77.85062164984305,79.73191489361702,341.5048377683487,349.7574468085106
2024-01-01 01:08:00,22.45773803956327,TCP,21.231.57.158,12434,inbound,181.15.235.122,62631,ACK,1,3,952,12311,52883,1,21.231.57.158/12434/inbound/181.15.235.122/62631,42.39073402329673,2354.7785581449593,55.549369747899156,548.1852169756366,12.931722689075631
2024-01-01 01:09:00,296.06739228649514,TCP,110.227.138.179,15543,outbound,61.53.167.25,17964,REQ,2,4,831,59085,36039,2,110.227.138.179/15543/outbound/61.53.167.25/17964,2.8067933911339598,121.72566428769768,43.368231046931406,199.5660499580626,71.10108303249098
2024-01-01 01:10:00,231.69620631206757,UDP,143.210.134.242,62437,inbound,80.219.64.99,25027,REQ,2,4,337,33368,30233,2,143.210.134.242/62437/inbound/80.219.64.99/25027,1.4544907979464308,130.48552016117046,89.71216617210682,144.01616897886203,99.01483679525222
2024-01-01 01:11:00,59.694832892098304,UDP,28.50.234.185,2075,outbound,74.191.170.16,63368,CON,3,0,8,3746,20808,3,28.50.234.185/2075/outbound/74.191.170.16/63368,0.13401494924125912,348.57288297651496,2601.0,62.75249998221958,468.25
2024-01-01 01:12:00,1.7560829253683594,UDP,5.4.93.245,46017,outbound,121.186.22.134,33896,CON,3,4,443,55471,1132,3,5.4.93.245/46017/outbound/121.186.22.134/33896,252.26599131534488,644.6164834514004,2.5553047404063207,31587.916036689607,125.21670428893906
2024-01-01 01:13:00,244.65688239360475,ICMP,96.7.63.137,10789,inbound,172.180.70.107,35839,CON,4,2,941,42916,45941,4,96.7.63.137/10789/inbound/172.180.70.107/35839,3.8462028568079125,187.77726402190467,48.82146652497343,175.4130093546954,45.60680127523911
2024-01-01 01:14:00,212.0865174199004,ICMP,38.110.223.111,12406,outbound,79.161.45.236,31893,ACK,1,0,539,89560,45860,1,38.110.223.111/12406/outbound/79.161.45.236/31893,2.541415675815255,216.2325100053573,85.0834879406308,422.2804970798038,166.1595547309833
2024-01-01 01:15:00,218.7292496954921,UDP,220.80.222.135,13604,inbound,196.205.77.15,50321,REQ,2,2,820,44212,46951,2,220.80.222.135/13604/inbound/196.205.77.15/50321,3.7489270462984625,214.65350457409647,57.25731707317073,202.1311738670093,53.917073170731705
2024-01-01 01:16:00,231.4039769711151,UDP,104.152.72.193,57714,inbound,71.95.146.1,61131,REQ,1,0,658,51148,71112,1,104.152.72.193/57714/inbound/71.95.146.1/61131,2.8435120632439888,307.30673228177284,108.07294832826747,221.03336627781695,77.73252279635258
2024-01-01 01:17:00,22.3059910550537,UDP,207.177.194.48,57587,outbound,10.177.124.80,18281,REQ,0,4,91,55011,21613,0,207.177.194.48/57587/outbound/10.177.124.80/18281,4.0796214692008865,968.9325144377885,237.5054945054945,2466.19842463967,604.5164835164835
2024-01-01 01:18:00,107.60387199042734,ICMP,36.125.67.77,33347,inbound,229.139.69.149,17706,CON,1,0,854,75546,72058,1,36.125.67.77/33347/inbound/229.139.69.149/17706,7.936517378073288,669.6599171302165,84.37704918032787,702.0751075455792,88.46135831381733
2024-01-01 01:19:00,34.8491309515864,ICMP,105.168.216.121,45781,inbound,32.104.83.128,20646,REQ,0,1,272,1878,2825,0,105.168.216.121/45781/inbound/32.104.83.128/20646,7.805072682526047,81.06371444167678,10.386029411764707,53.88943565361734,6.904411764705882
2024-01-01 01:20:00,258.9447174200905,TCP,119.189.254.113,61657,inbound,182.238.244.57,31432,FIN,3,3,834,45852,15878,3,119.189.254.113/61657/inbound/182.238.244.57/31432,3.220764680234767,61.31810742538086,19.038369304556355,177.07254450614454,54.97841726618705
2024-01-01 01:21:00,187.0271082355846,TCP,10.148.163.139,56496,outbound,198.210.145.133,9861,CON,3,4,5,85077,18024,3,10.148.163.139/56496/outbound/198.210.145.133/9861,0.02673409243809651,96.37105642085031,3604.8,454.8912764711874,17015.4
2024-01-01 01:22:00,99.33631765330948,UDP,91.231.1.117,12963,inbound,45.96.22.22,65234,REQ,4,3,594,70826,22438,4,91.231.1.117/12963/inbound/45.96.22.22/65234,5.979686121173733,225.87911984325964,37.774410774410775,712.9920020509273,119.23569023569024
2024-01-01 01:23:00,19.16114925077849,ICMP,13.180.159.94,52281,outbound,154.204.134.78,16431,ACK,1,4,899,80940,18665,1,13.180.159.94/52281/outbound/154.204.134.78/16431,46.91785384237717,974.1064982958508,20.761957730812014,4224.172513906572,90.03337041156841
2024-01-01 01:24:00,93.36359828252708,ICMP,144.31.31.123,30988,outbound,44.26.25.96,30333,CON,1,3,219,27389,37936,1,144.31.31.123/30988/outbound/44.26.25.96/30333,2.34566794798638,406.32538481649,173.22374429223746,293.35844487396787,125.06392694063926
2024-01-01 01:25:00,97.62247827582142,ICMP,226.10.9.14,1331,inbound,207.35.108.54,7406,FIN,0,1,118,44888,22888,0,226.10.9.14/1331/inbound/207.35.108.54/7406,1.208738008746348,234.4541995270035,193.96610169491527,459.8121333610684,380.40677966101697
2024-01-01 01:26:00,218.9088928835854,UDP,17.167.145.182,57913,inbound,192.218.184.68,28678,FIN,3,3,593,4847,40778,3,17.167.145.182/57913/inbound/192.218.184.68/28678,2.708889493655035,186.27840771039635,68.76559865092749,22.141631325035338,8.173693086003373
2024-01-01 01:27:00,191.3034856594284,TCP,201.152.231.58,4383,outbound,61.129.54.121,19919,ACK,0,0,976,74922,78050,0,201.152.231.58/4383/outbound/61.129.54.121/19919,5.101841174695281,407.99047508705604,79.96926229508196,391.63949230586053,76.76434426229508
2024-01-01 01:28:00,266.17510149864034,UDP,78.123.249.216,30672,outbound,97.79.86.37,56772,ACK,3,3,582,145,52848,3,78.123.249.216/30672/outbound/97.79.86.37/56772,2.186530583526322,198.545993605153,90.80412371134021,0.5447541831809565,0.24914089347079038
2024-01-01 01:29:00,141.71725605606858,TCP,114.21.243.157,36968,inbound,119.207.77.156,34575,CON,0,4,115,95378,72826,0,114.21.243.157/36968/inbound/119.207.77.156/34575,0.8114749269101129,513.8823741491816,633.2695652173913,673.0161354681109,829.3739130434783
2024-01-01 01:30:00,35.96631435689668,TCP,212.212.171.31,35043,inbound,154.34.78.66,22400,CON,3,2,263,7858,70528,3,212.212.171.31/35043/inbound/154.34.78.66/22400,7.312397856233738,1960.9459924123692,268.16730038022814,218.48221427484683,29.878326996197718
2024-01-01 01:31:00,214.00211168817617,UDP,179.173.112.119,39158,outbound,87.156.33.96,1394,FIN,0,3,306,23537,19672,0,179.173.112.119/39158/outbound/87.156.33.96/1394,1.429892432304007,91.924326563021,64.2875816993464,109.98489601025952,76.91830065359477
2024-01-01 01:32:00,228.2594360802075,TCP,149.226.121.31,28347,outbound,169.168.150.70,49700,ACK,3,3,654,19685,13586,3,149.226.121.31/28347/outbound/169.168.150.70/49700,2.8651608504377126,59.51999283493389,20.773700305810397,86.23958920621769,30.099388379204893
2024-01-01 01:33:00,168.42703155109191,TCP,222.118.38.240,51693,outbound,3.57.31.30,1510,CON,0,3,422,98859,67186,0,222.118.38.240/51693/outbound/3.57.31.30/1510,2.505536053884482,398.9027140196275,159.20853080568722,586.9544757131896,234.26303317535545
2024-01-01 01:34:00,231.31305726837283,ICMP,12.232.174.17,7250,outbound,82.42.134.104,24786,FIN,1,4,207,9954,5750,1,12.232.174.17/7250/outbound/82.42.134.104/24786,0.8948911161544829,24.85808655984675,27.77777777777778,43.032590194211224,48.08695652173913
2024-01-01 01:35:00,148.18929934968077,TCP,149.140.253.148,22713,outbound,1.60.13.179,27637,ACK,4,3,623,52176,38889,4,149.140.253.148/22713/outbound/1.60.13.179/27637,4.204082229513167,262.42785525447437,62.42215088282504,352.09019969033545,83.74959871589085
2024-01-01 01:36:00,156.86757553166,UDP,126.135.45.103,31995,inbound,224.5.102.9,48292,FIN,0,4,303,57050,10298,0,126.135.45.103/31995/inbound/224.5.102.9/48292,1.9315655193437131,65.64772844290943,33.98679867986799,363.68255075431955,188.2838283828383
2024-01-01 01:37:00,128.31955140572902,UDP,238.134.150.235,26978,outbound,71.89.225.157,4220,REQ,4,4,112,17449,45341,4,238.134.150.235/26978/outbound/71.89.225.157/4220,0.8728210064097808,353.34443974665953,404.83035714285717,135.9808369718238,155.79464285714286
2024-01-01 01:38:00,7.723196110554146,TCP,224.202.255.85,56045,outbound,228.148.125.187,43344,ACK,1,2,417,96328,17227,1,224.202.255.85/56045/outbound/228.148.125.187/43344,53.99319064682923,2230.5532260741657,41.31175059952039,12472.556519491045,231.00239808153478
2024-01-01 01:39:00,32.45663895529201,ICMP,150.234.88.21,25447,inbound,209.96.73.114,54463,CON,1,0,555,21448,19533,1,150.234.88.21/25447/inbound/209.96.73.114/54463,17.099737306887967,601.8183221899867,35.1945945945946,660.8201184831227,38.645045045045045
2024-01-01 01:40:00,9.5256127874516,ICMP,92.28.12.209,31415,inbound,191.238.169.50,30425,CON,3,4,859,34396,43865,3,92.28.12.209/31415/inbound/191.238.169.50/30425,90.17792546969667,4604.95308583032,51.065192083818395,3610.8963032080173,40.0419091967404
